created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweet_count,favorite_count,entities,extended_entities,favorited,retweeted,possibly_sensitive,lang
Wed Oct 01 02:44:47 +0000 2014,517143055779266561,517143055779266561,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 03:39:09 +0000 2014,517156737292333057,517156737292333057,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 05:09:01 +0000 2014,517179354783449088,517179354783449088,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 05:13:59 +0000 2014,517180605575208960,517180605575208960,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 05:57:18 +0000 2014,517191507053273090,517191507053273090,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 06:02:15 +0000 2014,517192750630838273,517192750630838273,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 12:57:27 +0000 2014,517297240243986432,517297240243986432,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Wed Oct 01 22:14:15 +0000 2014,517437362301722624,517437362301722624,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sat Oct 04 11:37:34 +0000 2014,518364300080324608,518364300080324608,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sat Oct 04 13:08:35 +0000 2014,518387206571180032,518387206571180032,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sat Oct 04 13:44:35 +0000 2014,518396266209095680,518396266209095680,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sat Oct 04 14:37:15 +0000 2014,518409517370187776,518409517370187776,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 21:36:57 +0000 2014,518877526031364096,518877526031364096,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 22:29:57 +0000 2014,518890864597553152,518890864597553152,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 22:33:28 +0000 2014,518891751554433025,518891751554433025,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 22:33:36 +0000 2014,518891784995627008,518891784995627008,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 22:40:10 +0000 2014,518893435819147264,518893435819147264,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 22:44:08 +0000 2014,518894432578711553,518894432578711553,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 22:48:26 +0000 2014,518895517670318080,518895517670318080,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 22:51:40 +0000 2014,518896331763748864,518896331763748864,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:06:09 +0000 2014,518899976366460928,518899976366460928,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:08:06 +0000 2014,518900464172417024,518900464172417024,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:13:56 +0000 2014,518901935999447040,518901935999447040,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:14:58 +0000 2014,518902194901647360,518902194901647360,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:15:33 +0000 2014,518902340871389184,518902340871389184,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:22:10 +0000 2014,518904005888454657,518904005888454657,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:22:36 +0000 2014,518904116815597568,518904116815597568,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:27:11 +0000 2014,518905267652935680,518905267652935680,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:39:39 +0000 2014,518908404879073280,518908404879073280,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Sun Oct 05 23:54:06 +0000 2014,518912042002956288,518912042002956288,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Mon Oct 06 00:17:05 +0000 2014,518917827865362432,518917827865362432,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Mon Oct 06 04:29:39 +0000 2014,518981387811315714,518981387811315714,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Mon Oct 06 04:36:45 +0000 2014,518983174735798272,518983174735798272,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Mon Oct 06 15:31:41 +0000 2014,519147992784580609,519147992784580609,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
Tue Oct 07 00:55:05 +0000 2014,519289777024032768,519289777024032768,RT @meghnlopez: PROPS TO YOU WHOEVER YOU ARE FOR WRITING THIS http://t.co/IlWwcLUzya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,78,0,,,false,false,false,en
