created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,retweet_count,favorite_count,entities,extended_entities,favorited,retweeted,possibly_sensitive,lang
Wed Oct 01 01:34:24 +0000 2014,517125342654251009,517125342654251009,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 01:19:25 +0000 2014,517121575779180545,517121575779180545,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 01:02:43 +0000 2014,517117372746829824,517117372746829824,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 01:00:37 +0000 2014,517116841828052992,517116841828052992,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:46:06 +0000 2014,517113190157930499,517113190157930499,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:45:42 +0000 2014,517113090609909760,517113090609909760,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:40:53 +0000 2014,517111875897917440,517111875897917440,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:38:29 +0000 2014,517111272085921792,517111272085921792,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:37:47 +0000 2014,517111097719926784,517111097719926784,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:36:19 +0000 2014,517110728663117824,517110728663117824,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:33:01 +0000 2014,517109898497097728,517109898497097728,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:30:45 +0000 2014,517109327900213250,517109327900213250,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:30:38 +0000 2014,517109295557513217,517109295557513217,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:26:57 +0000 2014,517108371552354304,517108371552354304,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:24:48 +0000 2014,517107827639599105,517107827639599105,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:24:14 +0000 2014,517107684575703040,517107684575703040,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:22:32 +0000 2014,517107256673193986,517107256673193986,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
Wed Oct 01 00:21:59 +0000 2014,517107120077275137,517107120077275137,RT @kanyewestnews: Kanye West released 'Through The Wire' on this day in 2003 http://t.co/xIFqBJ98jn,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,71,0,,,false,false,false,en
