created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,retweet_count,favorite_count,entities,extended_entities,favorited,retweeted,possibly_sensitive,lang
Wed Oct 01 01:44:39 +0000 2014,517127921782489088,517127921782489088,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 01:43:52 +0000 2014,517127725984022528,517127725984022528,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 01:30:53 +0000 2014,517124457656516608,517124457656516608,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 01:30:43 +0000 2014,517124417890320384,517124417890320384,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 01:22:25 +0000 2014,517122328225153024,517122328225153024,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:50:40 +0000 2014,517114337648201728,517114337648201728,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",false,"","","","","",,"","","","",,65,0,,,false,false,true,en
Wed Oct 01 00:40:27 +0000 2014,517111769307680768,517111769307680768,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:39:34 +0000 2014,517111546284367872,517111546284367872,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:34:33 +0000 2014,517110281109901312,517110281109901312,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
Wed Oct 01 00:33:50 +0000 2014,517110102742953984,517110102742953984,RT @Ballislife: Wiggins &amp; LaVine dunk exhibition at TWolves Dunks After Dark Midnight Event | VIDEO: http://t.co/3obZw2LRS4 http://t.co/GxS…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"","","","","",,"","","","",,65,0,,,false,false,false,en
